gene_id_go,gene_description,geneLink,GO
Ncl,nucleolin,https://www.ncbi.nlm.nih.gov/gene/?term=25135,nucleotide binding
Ncl,nucleolin,https://www.ncbi.nlm.nih.gov/gene/?term=25135,angiogenesis
Ncl,nucleolin,https://www.ncbi.nlm.nih.gov/gene/?term=25135,nucleic acid binding
Ncl,nucleolin,https://www.ncbi.nlm.nih.gov/gene/?term=25135,RNA binding
Ncl,nucleolin,https://www.ncbi.nlm.nih.gov/gene/?term=25135,nucleus
Ncl,nucleolin,https://www.ncbi.nlm.nih.gov/gene/?term=25135,nucleoplasm
Ncl,nucleolin,https://www.ncbi.nlm.nih.gov/gene/?term=25135,nucleolus
Ncl,nucleolin,https://www.ncbi.nlm.nih.gov/gene/?term=25135,cytoplasm
Ncl,nucleolin,https://www.ncbi.nlm.nih.gov/gene/?term=25135,cell cortex
Ncl,nucleolin,https://www.ncbi.nlm.nih.gov/gene/?term=25135,protein C-terminus binding
Ncl,nucleolin,https://www.ncbi.nlm.nih.gov/gene/?term=25135,membrane
Ncl,nucleolin,https://www.ncbi.nlm.nih.gov/gene/?term=25135,ribonucleoprotein complex
Ncl,nucleolin,https://www.ncbi.nlm.nih.gov/gene/?term=25135,cytoplasmic ribonucleoprotein granule
Ncl,nucleolin,https://www.ncbi.nlm.nih.gov/gene/?term=25135,telomeric DNA binding
Ncl,nucleolin,https://www.ncbi.nlm.nih.gov/gene/?term=25135,identical protein binding
Ncl,nucleolin,https://www.ncbi.nlm.nih.gov/gene/?term=25135,poly(A) RNA binding
Ncl,nucleolin,https://www.ncbi.nlm.nih.gov/gene/?term=25135,extracellular vesicular exosome
Ncl,nucleolin,https://www.ncbi.nlm.nih.gov/gene/?term=25135,positive regulation of transcription of nuclear large rRNA transcript from RNA polymerase I promoter
Spp1,secreted phosphoprotein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25353,osteoblast differentiation
Spp1,secreted phosphoprotein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25353,cytokine activity
Spp1,secreted phosphoprotein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25353,extracellular space
Spp1,secreted phosphoprotein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25353,cytoplasm
Spp1,secreted phosphoprotein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25353,inflammatory response
Spp1,secreted phosphoprotein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25353,cell adhesion
Spp1,secreted phosphoprotein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25353,response to organic substance
Spp1,secreted phosphoprotein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25353,positive regulation of cell-substrate adhesion
Spp1,secreted phosphoprotein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25353,cell differentiation
Spp1,secreted phosphoprotein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25353,neutrophil chemotaxis
Spp1,secreted phosphoprotein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25353,biomineral tissue development
Spp1,secreted phosphoprotein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25353,membrane-bounded vesicle
Spp1,secreted phosphoprotein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25353,response to vitamin D
Spp1,secreted phosphoprotein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25353,cell projection
Spp1,secreted phosphoprotein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25353,apical part of cell
Spp1,secreted phosphoprotein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25353,positive regulation of bone resorption
Spp1,secreted phosphoprotein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25353,perinuclear region of cytoplasm
Spp1,secreted phosphoprotein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25353,response to steroid hormone
Spp1,secreted phosphoprotein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25353,negative regulation of collateral sprouting of intact axon in response to injury
Spp1,secreted phosphoprotein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25353,extracellular matrix binding
Spp1,secreted phosphoprotein 1,https://www.ncbi.nlm.nih.gov/gene/?term=25353,extracellular vesicular exosome
Efnb1,ephrin B1,https://www.ncbi.nlm.nih.gov/gene/?term=25186,neural crest cell migration
Efnb1,ephrin B1,https://www.ncbi.nlm.nih.gov/gene/?term=25186,protein binding
Efnb1,ephrin B1,https://www.ncbi.nlm.nih.gov/gene/?term=25186,nucleus
Efnb1,ephrin B1,https://www.ncbi.nlm.nih.gov/gene/?term=25186,cytoplasm
Efnb1,ephrin B1,https://www.ncbi.nlm.nih.gov/gene/?term=25186,plasma membrane
Efnb1,ephrin B1,https://www.ncbi.nlm.nih.gov/gene/?term=25186,nervous system development
Efnb1,ephrin B1,https://www.ncbi.nlm.nih.gov/gene/?term=25186,axon guidance
Efnb1,ephrin B1,https://www.ncbi.nlm.nih.gov/gene/?term=25186,embryonic pattern specification
Efnb1,ephrin B1,https://www.ncbi.nlm.nih.gov/gene/?term=25186,integral component of membrane
Efnb1,ephrin B1,https://www.ncbi.nlm.nih.gov/gene/?term=25186,positive regulation of T cell proliferation
Efnb1,ephrin B1,https://www.ncbi.nlm.nih.gov/gene/?term=25186,membrane raft
Efnb1,ephrin B1,https://www.ncbi.nlm.nih.gov/gene/?term=25186,synapse
Efnb1,ephrin B1,https://www.ncbi.nlm.nih.gov/gene/?term=25186,ephrin receptor binding
Efnb1,ephrin B1,https://www.ncbi.nlm.nih.gov/gene/?term=25186,ephrin receptor signaling pathway
Efnb1,ephrin B1,https://www.ncbi.nlm.nih.gov/gene/?term=25186,extracellular vesicular exosome
Slc25a5,solute carrier family 25 member 5,https://www.ncbi.nlm.nih.gov/gene/?term=25176,transporter activity
Slc25a5,solute carrier family 25 member 5,https://www.ncbi.nlm.nih.gov/gene/?term=25176,protein binding
Slc25a5,solute carrier family 25 member 5,https://www.ncbi.nlm.nih.gov/gene/?term=25176,nucleus
Slc25a5,solute carrier family 25 member 5,https://www.ncbi.nlm.nih.gov/gene/?term=25176,mitochondrion
Slc25a5,solute carrier family 25 member 5,https://www.ncbi.nlm.nih.gov/gene/?term=25176,mitochondrial inner membrane
Slc25a5,solute carrier family 25 member 5,https://www.ncbi.nlm.nih.gov/gene/?term=25176,chromosome segregation
Slc25a5,solute carrier family 25 member 5,https://www.ncbi.nlm.nih.gov/gene/?term=25176,positive regulation of cell proliferation
Slc25a5,solute carrier family 25 member 5,https://www.ncbi.nlm.nih.gov/gene/?term=25176,membrane
Slc25a5,solute carrier family 25 member 5,https://www.ncbi.nlm.nih.gov/gene/?term=25176,integral component of membrane
Slc25a5,solute carrier family 25 member 5,https://www.ncbi.nlm.nih.gov/gene/?term=25176,mitochondrial nucleoid
Slc25a5,solute carrier family 25 member 5,https://www.ncbi.nlm.nih.gov/gene/?term=25176,poly(A) RNA binding
Slc25a5,solute carrier family 25 member 5,https://www.ncbi.nlm.nih.gov/gene/?term=25176,transmembrane transport
Slc25a5,solute carrier family 25 member 5,https://www.ncbi.nlm.nih.gov/gene/?term=25176,extracellular vesicular exosome
Slc25a5,solute carrier family 25 member 5,https://www.ncbi.nlm.nih.gov/gene/?term=25176,MMXD complex
Slc25a5,solute carrier family 25 member 5,https://www.ncbi.nlm.nih.gov/gene/?term=25176,negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway
Tcp1,t-complex 1,https://www.ncbi.nlm.nih.gov/gene/?term=24818,pericentriolar material
Tcp1,t-complex 1,https://www.ncbi.nlm.nih.gov/gene/?term=24818,heterochromatin
Tcp1,t-complex 1,https://www.ncbi.nlm.nih.gov/gene/?term=24818,acrosomal vesicle
