gene,STOMACH1,STOMACH2,STOMACH3,SALIVARY_GLAND1,SALIVARY_GLAND2,SALIVARY_GLAND3
MARCH1,602,377,558,789,684,1274
MARCH2,3328,2287,2967,3249,3416,3258
MARCH3,560,788,437,192,791,795
MARCH4,4,0,5,12,2,4
MARCH5,1893,1270,1526,1732,2221,1454
MARCH6,8206,5315,6538,9304,11072,9041
MARCH7,4616,2996,4014,5834,5405,4184
MARCH8,1964,1685,2854,3982,3301,1851
MARCH9,937,788,1143,1172,784,1037
MARCH10,35,2,7,2,32,11
MARCH11,23,0,2,0,0,0
SEPT1,13,13,23,78,51,86
SEPT2,16455,20126,23948,20393,26384,15922
SEPT3,31,50,62,55,137,30
SEPT4,4161,1452,3612,5774,4291,3166
SEPT5,4175,2001,5948,5182,3772,2840
SEPT6,2057,1251,1437,2692,2786,2159
SEPT7,11639,13305,18115,20920,20844,9966
SEPT8,4222,7008,9402,7610,7306,8220
SEPT9,11131,8479,13116,10640,12210,10744
SEPT10,3536,5596,7029,6449,7061,3701
SEPT11,6453,5474,7437,6775,11391,5853
SEPT12,3,0,4,0,3,2
SEPT14,0,0,2,0,0,0
DEC1,0,6,2,8,2,1
,262,236,284,267,533,324
A1BG,262,236,284,267,533,324
A1BG-AS1,84,91,87,75,142,133
A1CF,2,2,2,6,1,2
A2M,68603,126956,144344,245041,138640,81812
,68603,126956,144344,245041,138640,81812
A2M-AS1,265,132,185,402,294,484
A2ML1,50,7,30,57,29,61
A2MP1,44,4,6,13,32,35
A3GALT2,5,5,7,1,1,8
A4GALT,3597,3898,4646,2722,4655,3125
A4GNT,13,2,25,23,2,24
AA06,0,0,0,0,0,0
AAAS,2284,2216,3197,3185,1568,3266
AACS,1657,1008,1785,861,2571,1164
AACSP1,0,0,2,0,0,0
AADAC,0,5,0,2,6,8
AADACL2,0,0,0,0,0,0
AADACL3,2,0,0,0,6,0
AADACL4,4,4,2,3,2,6
AADACP1,7,12,2,0,83,0
AADAT,246,421,639,574,479,543
AAED1,1074,740,1083,1033,1502,643
AAGAB,1109,1628,1740,1192,1425,1443
AAK1,1032,501,590,393,790,576
AAMDC,531,260,539,542,551,339
AAMP,3598,4370,5408,4571,5688,4193
AANAT,10,6,4,18,41,5
AAR2,1669,2329,2910,3346,3014,1843
AARD,2,0,2,4,2,12
AARS,5096,10527,10444,6673,7928,4775
AARS2,750,856,782,605,938,794
AARSD1,1224,1698,1738,1207,1463,1191
