gene,ADRG1,ADRG2,AORT1,AORT2,BFAT1,BFAT2
Ube2g1,9.86231,9.5979,9.21647,9.23413,9.0515,9.1692
Huwe1,11.0822,10.9248,10.6093,10.6842,10.0799,10.0745
Wars,9.41797,9.18598,8.89202,8.60599,8.15823,8.77137
Mrpl52,8.62654,8.45456,7.62696,7.94613,7.79148,7.6741
Hnrnpul2,9.2177,9.40017,8.37619,8.55341,8.26572,8.30518
Atp6v0d1,9.46533,9.20558,8.55631,8.22656,7.61427,8.02285
Rbm42,7.73977,7.58521,7.39884,7.06801,6.1502,6.64075
Ctbp1,9.73143,9.66699,9.29415,9.40005,8.96714,9.08741
Hbxip,5.68796,5.41438,4.96418,5.25893,5.03469,4.43363
Dlg1,9.72994,9.71576,9.321,9.13565,8.72973,8.98639
Ube2r2,8.95866,9.01776,8.8639,9.00283,8.10632,8.6367
Trappc4,6.75812,7.06059,6.68318,7.06403,6.60015,6.95872
Atg5,6.95865,7.89824,5.93808,6.15607,5.71992,6.38936
Cdh23,3.7434,3.77517,3.52842,3.50665,2.90887,3.12017
Txndc12,8.58492,8.84457,7.78261,7.94118,7.71231,7.89076
Rnf220,7.16572,7.26713,6.49542,6.52292,6.29473,6.51513
Cpsf7,10.3292,10.2253,9.65975,9.76617,9.47057,9.3434
Ube2v1,6.85226,6.37022,6.32007,6.30253,5.94286,5.73349
Gps1,5.46474,5.33683,4.84996,4.76819,4.59424,4.40332
Golm1,5.6676,5.59819,5.84887,5.5207,4.85614,4.9456
Copg,9.60377,9.54714,8.42371,8.40585,7.71978,7.81794
Mir1929,5.07951,5.12842,4.87525,4.88917,5.13503,4.60151
Rfk,10.4483,10.2545,10.3623,10.3933,10.6664,10.5748
Dhrs1,10.9082,10.9478,10.756,10.6503,10.5287,10.4599
Atox1,9.6668,9.8285,9.58366,9.63334,9.17132,9.44652
Xpo7,11.0305,11.2388,10.616,10.8214,10.5373,10.4942
Rragc,5.98166,6.12478,6.48566,6.56723,6.29783,7.1125
Canx,11.2919,11.3392,10.5252,10.2587,9.88506,10.0866
Tbl3,7.65212,7.3945,6.86677,6.81827,6.26842,5.96544
Psmc5,8.59097,8.39717,7.71221,7.80497,7.5387,7.73047
Snrnp27,8.54115,8.34932,7.88641,7.59938,7.80533,8.4696
Sap30l,8.61982,8.45123,8.22343,8.22704,7.94896,8.23073
Mtif2,6.5056,7.10201,6.9685,7.07657,6.67864,7.33591
Gbf1,8.9993,9.03694,8.83693,8.55503,8.43363,8.09419
Ssr3,11.1815,11.3179,10.6286,10.5941,10.5177,10.4959
Mir686,5.01064,5.09206,4.04661,5.37753,3.3847,4.03339
Itch,10.0411,10.2186,9.78154,9.73121,9.31857,9.20355
Copa,10.3721,10.5491,10.0943,10.0403,9.18988,9.33711
Zranb1,8.63983,8.39521,8.22341,8.17841,7.98173,7.84059
1700037C18Rik,5.45555,5.23738,5.16862,5.11675,5.20545,5.04948
Aup1,11.3807,11.391,10.8944,10.8848,10.6896,10.7318
H2-Ke2,8.19322,8.20678,7.90092,8.15986,7.52555,7.48899
Ddx24,8.93645,8.97174,8.57103,8.26651,7.83207,8.13674
BC031181,9.86475,9.93455,9.44161,9.44505,9.20831,9.41675
Pla2g4b,11.0615,11.32,11.0294,11.063,10.7199,10.5302
Mad2l1bp,6.04782,5.82118,6.07947,6.23406,5.57706,4.99932
Eif5,10.937,11.2324,10.89,10.6562,10.9156,11.0213
Psap,10.8011,10.9243,11.0091,10.9081,10.7545,10.8237
Tmem165,10.2277,10.3615,9.95169,9.8818,9.11672,8.89184
Mrpl43,9.3927,9.1214,8.80079,8.72058,8.35464,8.47912
Gm12902,7.70147,8.42947,8.12781,8.06998,7.57701,7.436
Gm20695,6.64426,6.96207,6.64901,6.11155,5.91603,5.83782
Ppm1a,10.7104,10.6562,10.602,10.46,10.636,10.5904
B230312A22Rik,6.56217,6.42924,6.13863,6.15825,5.77209,5.66799
Dcdc2b,6.25526,6.48326,5.74368,5.46907,5.63225,5.62419
Cic,7.30244,6.91023,6.31972,7.11168,6.16584,6.11834
Nmt1,9.12045,8.96743,8.64461,8.3788,8.18069,8.22009
SCARNA23,3.97345,3.74002,3.50924,3.57232,3.1468,3.42472
G3bp2,10.7228,10.8695,9.94077,9.97221,9.79007,9.95616
Tmem234,8.4119,8.45204,8.23002,7.89589,7.18899,7.75944
Pabpn1,8.19145,7.97374,7.08501,6.59546,7.43228,7.01514
Hp1bp3,8.71813,8.44459,7.29123,6.76278,6.22864,6.74734
Vta1,5.07516,5.5942,4.41604,4.85943,4.22473,4.70442
AL808023.1,3.48816,3.53291,3.20196,3.11826,2.92368,2.98631
Tox4,11.6032,11.7897,11.3819,11.3514,11.1271,10.7683
Rab7,11.993,12.0191,11.5689,11.4139,11.3229,11.3008
Psph,8.12014,8.21841,7.71942,7.86593,7.27303,7.14028
Snapin,11.1039,11.1356,10.649,10.4392,10.2577,10.2877
Zkscan3,9.25574,9.33076,8.50407,8.53794,8.20532,8.6858
Cox18,9.4443,9.66815,9.34786,9.38812,9.29352,9.30129
Gm12396,4.01296,4.12058,3.75331,4.18703,3.32555,4.03001
Fgd5,7.76764,7.59295,7.80953,7.53515,5.26805,6.82448
Apoa1bp,9.92475,10.0335,9.31988,9.19896,9.30215,9.25726
AL589870.1,6.10427,5.72021,5.74884,5.76107,4.85977,5.99377
Gm15573,4.41656,4.74067,3.95427,4.28771,4.12487,4.41365
Hdac5,9.49035,9.33942,9.70443,9.73386,9.11606,9.16886
Tomm5,9.14512,9.14123,9.43406,9.82188,9.1452,9.31025
Dpm2,6.65427,6.24874,5.89111,6.19443,5.25533,6.01997
Arfgef1,8.42468,8.53903,7.89061,7.78432,7.77532,7.51176
