gene_id_go,gene_description,geneLink,GO
HLA-DMB,"major histocompatibility complex, class II, DM beta",https://www.ncbi.nlm.nih.gov/gene/?term=3109,MHC class II protein complex assembly
HLA-DMB,"major histocompatibility complex, class II, DM beta",https://www.ncbi.nlm.nih.gov/gene/?term=3109,peptide antigen assembly with MHC class II protein complex
HLA-DMB,"major histocompatibility complex, class II, DM beta",https://www.ncbi.nlm.nih.gov/gene/?term=3109,lysosomal membrane
HLA-DMB,"major histocompatibility complex, class II, DM beta",https://www.ncbi.nlm.nih.gov/gene/?term=3109,immune response
HLA-DMB,"major histocompatibility complex, class II, DM beta",https://www.ncbi.nlm.nih.gov/gene/?term=3109,integral component of membrane
HLA-DMB,"major histocompatibility complex, class II, DM beta",https://www.ncbi.nlm.nih.gov/gene/?term=3109,antigen processing and presentation of exogenous peptide antigen via MHC class II
HLA-DMB,"major histocompatibility complex, class II, DM beta",https://www.ncbi.nlm.nih.gov/gene/?term=3109,antigen processing and presentation of exogenous peptide antigen via MHC class II
HLA-DMB,"major histocompatibility complex, class II, DM beta",https://www.ncbi.nlm.nih.gov/gene/?term=3109,MHC class II protein complex binding
HLA-DMB,"major histocompatibility complex, class II, DM beta",https://www.ncbi.nlm.nih.gov/gene/?term=3109,late endosome membrane
HLA-DMB,"major histocompatibility complex, class II, DM beta",https://www.ncbi.nlm.nih.gov/gene/?term=3109,positive regulation of T cell proliferation
HLA-DMB,"major histocompatibility complex, class II, DM beta",https://www.ncbi.nlm.nih.gov/gene/?term=3109,MHC class II protein complex
HLA-DMB,"major histocompatibility complex, class II, DM beta",https://www.ncbi.nlm.nih.gov/gene/?term=3109,positive regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell
TAS2R7,taste 2 receptor member 7,https://www.ncbi.nlm.nih.gov/gene/?term=50837,detection of chemical stimulus involved in sensory perception of bitter taste
TAS2R7,taste 2 receptor member 7,https://www.ncbi.nlm.nih.gov/gene/?term=50837,plasma membrane
TAS2R7,taste 2 receptor member 7,https://www.ncbi.nlm.nih.gov/gene/?term=50837,G-protein coupled receptor signaling pathway
TAS2R7,taste 2 receptor member 7,https://www.ncbi.nlm.nih.gov/gene/?term=50837,taste receptor activity
TAS2R7,taste 2 receptor member 7,https://www.ncbi.nlm.nih.gov/gene/?term=50837,integral component of membrane
TAS2R7,taste 2 receptor member 7,https://www.ncbi.nlm.nih.gov/gene/?term=50837,bitter taste receptor activity
IL17RE,interleukin 17 receptor E,https://www.ncbi.nlm.nih.gov/gene/?term=132014,protein binding
IL17RE,interleukin 17 receptor E,https://www.ncbi.nlm.nih.gov/gene/?term=132014,extracellular region
IL17RE,interleukin 17 receptor E,https://www.ncbi.nlm.nih.gov/gene/?term=132014,cytoplasm
IL17RE,interleukin 17 receptor E,https://www.ncbi.nlm.nih.gov/gene/?term=132014,plasma membrane
IL17RE,interleukin 17 receptor E,https://www.ncbi.nlm.nih.gov/gene/?term=132014,inflammatory response
IL17RE,interleukin 17 receptor E,https://www.ncbi.nlm.nih.gov/gene/?term=132014,integral component of membrane
PRR4,proline rich 4 (lacrimal),https://www.ncbi.nlm.nih.gov/gene/?term=11272,retina homeostasis
PRR4,proline rich 4 (lacrimal),https://www.ncbi.nlm.nih.gov/gene/?term=11272,extracellular space
PRR4,proline rich 4 (lacrimal),https://www.ncbi.nlm.nih.gov/gene/?term=11272,visual perception
TAS2R13,taste 2 receptor member 13,https://www.ncbi.nlm.nih.gov/gene/?term=50838,detection of chemical stimulus involved in sensory perception of bitter taste
TAS2R13,taste 2 receptor member 13,https://www.ncbi.nlm.nih.gov/gene/?term=50838,plasma membrane
TAS2R13,taste 2 receptor member 13,https://www.ncbi.nlm.nih.gov/gene/?term=50838,G-protein coupled receptor signaling pathway
TAS2R13,taste 2 receptor member 13,https://www.ncbi.nlm.nih.gov/gene/?term=50838,taste receptor activity
TAS2R13,taste 2 receptor member 13,https://www.ncbi.nlm.nih.gov/gene/?term=50838,integral component of membrane
TAS2R13,taste 2 receptor member 13,https://www.ncbi.nlm.nih.gov/gene/?term=50838,positive regulation of cytokinesis
TAS2R13,taste 2 receptor member 13,https://www.ncbi.nlm.nih.gov/gene/?term=50838,bitter taste receptor activity
TAS2R14,taste 2 receptor member 14,https://www.ncbi.nlm.nih.gov/gene/?term=50840,detection of chemical stimulus involved in sensory perception of bitter taste
TAS2R14,taste 2 receptor member 14,https://www.ncbi.nlm.nih.gov/gene/?term=50840,plasma membrane
TAS2R14,taste 2 receptor member 14,https://www.ncbi.nlm.nih.gov/gene/?term=50840,G-protein coupled receptor signaling pathway
TAS2R14,taste 2 receptor member 14,https://www.ncbi.nlm.nih.gov/gene/?term=50840,taste receptor activity
TAS2R14,taste 2 receptor member 14,https://www.ncbi.nlm.nih.gov/gene/?term=50840,taste receptor activity
TAS2R14,taste 2 receptor member 14,https://www.ncbi.nlm.nih.gov/gene/?term=50840,integral component of membrane
TAS2R14,taste 2 receptor member 14,https://www.ncbi.nlm.nih.gov/gene/?term=50840,bitter taste receptor activity
TAS2R30,taste 2 receptor member 30,https://www.ncbi.nlm.nih.gov/gene/?term=259293,detection of chemical stimulus involved in sensory perception of bitter taste
TAS2R30,taste 2 receptor member 30,https://www.ncbi.nlm.nih.gov/gene/?term=259293,plasma membrane
TAS2R30,taste 2 receptor member 30,https://www.ncbi.nlm.nih.gov/gene/?term=259293,G-protein coupled receptor signaling pathway
TAS2R30,taste 2 receptor member 30,https://www.ncbi.nlm.nih.gov/gene/?term=259293,integral component of membrane
TAS2R30,taste 2 receptor member 30,https://www.ncbi.nlm.nih.gov/gene/?term=259293,bitter taste receptor activity
LSM2,"LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated",https://www.ncbi.nlm.nih.gov/gene/?term=57819,nuclear-transcribed mRNA catabolic process deadenylation-dependent decay
LSM2,"LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated",https://www.ncbi.nlm.nih.gov/gene/?term=57819,mRNA splicing via spliceosome
LSM2,"LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated",https://www.ncbi.nlm.nih.gov/gene/?term=57819,mRNA splicing via spliceosome
LSM2,"LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated",https://www.ncbi.nlm.nih.gov/gene/?term=57819,protein binding
LSM2,"LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated",https://www.ncbi.nlm.nih.gov/gene/?term=57819,nucleoplasm
LSM2,"LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated",https://www.ncbi.nlm.nih.gov/gene/?term=57819,cytosol
LSM2,"LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated",https://www.ncbi.nlm.nih.gov/gene/?term=57819,RNA splicing
LSM2,"LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated",https://www.ncbi.nlm.nih.gov/gene/?term=57819,gene expression
LSM2,"LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated",https://www.ncbi.nlm.nih.gov/gene/?term=57819,RNA metabolic process
LSM2,"LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated",https://www.ncbi.nlm.nih.gov/gene/?term=57819,mRNA metabolic process
