,transcript,id,tissue,expr,SE,lb,ub,PAN.LIV_q,PAN.KID_q,KID.LIV_q,PAN.LIV.KID_q,shortName,gene,GO,geneLink,transcriptLink
130059,uc007aet,1,kidney,0.08,0.02,0.06,0.1,0.009757068,0.002814361,0.002757336,0.001828455,uc007aet.1,uc007aet,,,
130060,uc007aeu,2,kidney,0.05,0.01,0.04,0.06,0.000174995,7.97E-06,1.28E-05,5.05E-06,Xkr4,Xkr4,molecular_function|cellular_component|biological_process|membrane|integral component of membrane|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/497097' target = '_blank'>Xkr4</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007aeu.1' target = '_blank'>uc007aeu</a>
130061,uc007aev,3,kidney,0.04,0.01,0.03,0.05,0.042871638,0.004587286,0.009870344,0.000914449,uc007aev.1,uc007aev,,,
130062,uc007aew,4,kidney,0.05,0.03,0.01,0.08,0.354735373,2.42E-09,0.00018831,0.009071075,Rp1,Rp1,photoreceptor outer segment|photoreceptor inner segment|photoreceptor inner segment|cytoplasm|cytoskeleton|microtubule associated complex|cilium|axoneme|negative regulation of microtubule depolymerization|visual perception|microtubule binding|cell projection organization|photoreceptor connecting cilium|photoreceptor connecting cilium|axoneme assembly|intracellular signal transduction|photoreceptor cell outer segment organization|photoreceptor cell development|cell projection|photoreceptor cell maintenance|retinal rod cell development|retinal cone cell development|microtubule polymerization|response to stimulus|retina development in camera-type eye|retina morphogenesis in camera-type eye|cellular response to light stimulus|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/19888' target = '_blank'>Rp1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007aew.1' target = '_blank'>uc007aew</a>
130063,uc007aex,5,kidney,0.03,0.02,0.01,0.05,0.329530391,8.38E-09,3.82E-05,0.001215517,Rp1,Rp1,photoreceptor outer segment|photoreceptor inner segment|photoreceptor inner segment|cytoplasm|cytoskeleton|microtubule associated complex|cilium|axoneme|negative regulation of microtubule depolymerization|visual perception|microtubule binding|cell projection organization|photoreceptor connecting cilium|photoreceptor connecting cilium|axoneme assembly|intracellular signal transduction|photoreceptor cell outer segment organization|photoreceptor cell development|cell projection|photoreceptor cell maintenance|retinal rod cell development|retinal cone cell development|microtubule polymerization|response to stimulus|retina development in camera-type eye|retina morphogenesis in camera-type eye|cellular response to light stimulus|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/19888' target = '_blank'>Rp1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007aex.2' target = '_blank'>uc007aex</a>
130064,uc007aey,6,kidney,1.99,0.19,1.81,2.18,0.418119018,0.005615199,0.585474739,0.083776206,Sox17,Sox17,"negative regulation of transcription from RNA polymerase II promoter|sequence-specific DNA binding RNA polymerase II transcription factor activity|angiogenesis|vasculogenesis|endoderm formation|inner cell mass cellular morphogenesis|heart looping|cardiogenic plate morphogenesis|embryonic heart tube morphogenesis|outflow tract morphogenesis|negative regulation of Wnt signaling pathway involved in heart development|DNA binding|sequence-specific DNA binding transcription factor activity|RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity|transcription coactivator activity|protein binding|nucleus|nucleus|transcription factor complex|transcription, DNA-templated|regulation of transcription, DNA-templated|transcription from RNA polymerase II promoter|spermatogenesis|gastrulation|endoderm development|endodermal cell fate determination|beta-catenin binding|transcription factor binding|positive regulation of gene expression|Wnt signaling pathway|rostrocaudal neural tube patterning|signal transduction involved in regulation of gene expression|negative regulation of Wnt signaling pathway|negative regulation of Wnt signaling pathway|negative regulation of cell growth|protein destabilization|embryonic heart tube development|cell migration involved in gastrulation|regulation of mesodermal cell fate specification|negative regulation of mesodermal cell fate specification|mRNA transcription from RNA polymerase II promoter|sequence-specific DNA binding|transcription regulatory region DNA binding|nuclear transcription factor complex|regulation of cell differentiation|positive regulation of cell differentiation|positive regulation of cell differentiation|positive regulation of protein catabolic process|positive regulation of transcription, DNA-templated|positive regulation of transcription from RNA polymerase II promoter|positive regulation of transcription from RNA polymerase II promoter|regulation of embryonic development|protein heterodimerization activity|embryonic organ development|embryonic foregut morphogenesis|positive regulation of skeletal muscle tissue development|stem cell differentiation|stem cell fate specification|protein stabilization|canonical Wnt signaling pathway|endocardium formation|regulation of transcription from RNA polymerase II promoter involved in definitive endodermal cell fate specification|cardiac cell fate determination|endocardial cell differentiation|common bile duct development|gall bladder development|endodermal digestive tract morphogenesis|renal system development|regulation of stem cell proliferation|negative regulation of canonical Wnt signaling pathway|regulation of stem cell division|regulation of cardiac cell fate specification|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/20671' target = '_blank'>Sox17</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007aey.1' target = '_blank'>uc007aey</a>
130065,uc007afc,7,kidney,1.69,0.15,1.54,1.85,0.193740759,0.002194631,0.4403494,0.068522522,Sox17,Sox17,"negative regulation of transcription from RNA polymerase II promoter|sequence-specific DNA binding RNA polymerase II transcription factor activity|angiogenesis|vasculogenesis|endoderm formation|inner cell mass cellular morphogenesis|heart looping|cardiogenic plate morphogenesis|embryonic heart tube morphogenesis|outflow tract morphogenesis|negative regulation of Wnt signaling pathway involved in heart development|DNA binding|sequence-specific DNA binding transcription factor activity|RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity|transcription coactivator activity|protein binding|nucleus|nucleus|transcription factor complex|transcription, DNA-templated|regulation of transcription, DNA-templated|transcription from RNA polymerase II promoter|spermatogenesis|gastrulation|endoderm development|endodermal cell fate determination|beta-catenin binding|transcription factor binding|positive regulation of gene expression|Wnt signaling pathway|rostrocaudal neural tube patterning|signal transduction involved in regulation of gene expression|negative regulation of Wnt signaling pathway|negative regulation of Wnt signaling pathway|negative regulation of cell growth|protein destabilization|embryonic heart tube development|cell migration involved in gastrulation|regulation of mesodermal cell fate specification|negative regulation of mesodermal cell fate specification|mRNA transcription from RNA polymerase II promoter|sequence-specific DNA binding|transcription regulatory region DNA binding|nuclear transcription factor complex|regulation of cell differentiation|positive regulation of cell differentiation|positive regulation of cell differentiation|positive regulation of protein catabolic process|positive regulation of transcription, DNA-templated|positive regulation of transcription from RNA polymerase II promoter|positive regulation of transcription from RNA polymerase II promoter|regulation of embryonic development|protein heterodimerization activity|embryonic organ development|embryonic foregut morphogenesis|positive regulation of skeletal muscle tissue development|stem cell differentiation|stem cell fate specification|protein stabilization|canonical Wnt signaling pathway|endocardium formation|regulation of transcription from RNA polymerase II promoter involved in definitive endodermal cell fate specification|cardiac cell fate determination|endocardial cell differentiation|common bile duct development|gall bladder development|endodermal digestive tract morphogenesis|renal system development|regulation of stem cell proliferation|negative regulation of canonical Wnt signaling pathway|regulation of stem cell division|regulation of cardiac cell fate specification|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/20671' target = '_blank'>Sox17</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afc.2' target = '_blank'>uc007afc</a>
130066,uc007afa,8,kidney,1.72,0.14,1.58,1.86,0.095401673,0.002869819,0.392227502,0.053022297,Sox17,Sox17,"negative regulation of transcription from RNA polymerase II promoter|sequence-specific DNA binding RNA polymerase II transcription factor activity|angiogenesis|vasculogenesis|endoderm formation|inner cell mass cellular morphogenesis|heart looping|cardiogenic plate morphogenesis|embryonic heart tube morphogenesis|outflow tract morphogenesis|negative regulation of Wnt signaling pathway involved in heart development|DNA binding|sequence-specific DNA binding transcription factor activity|RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity|transcription coactivator activity|protein binding|nucleus|nucleus|transcription factor complex|transcription, DNA-templated|regulation of transcription, DNA-templated|transcription from RNA polymerase II promoter|spermatogenesis|gastrulation|endoderm development|endodermal cell fate determination|beta-catenin binding|transcription factor binding|positive regulation of gene expression|Wnt signaling pathway|rostrocaudal neural tube patterning|signal transduction involved in regulation of gene expression|negative regulation of Wnt signaling pathway|negative regulation of Wnt signaling pathway|negative regulation of cell growth|protein destabilization|embryonic heart tube development|cell migration involved in gastrulation|regulation of mesodermal cell fate specification|negative regulation of mesodermal cell fate specification|mRNA transcription from RNA polymerase II promoter|sequence-specific DNA binding|transcription regulatory region DNA binding|nuclear transcription factor complex|regulation of cell differentiation|positive regulation of cell differentiation|positive regulation of cell differentiation|positive regulation of protein catabolic process|positive regulation of transcription, DNA-templated|positive regulation of transcription from RNA polymerase II promoter|positive regulation of transcription from RNA polymerase II promoter|regulation of embryonic development|protein heterodimerization activity|embryonic organ development|embryonic foregut morphogenesis|positive regulation of skeletal muscle tissue development|stem cell differentiation|stem cell fate specification|protein stabilization|canonical Wnt signaling pathway|endocardium formation|regulation of transcription from RNA polymerase II promoter involved in definitive endodermal cell fate specification|cardiac cell fate determination|endocardial cell differentiation|common bile duct development|gall bladder development|endodermal digestive tract morphogenesis|renal system development|regulation of stem cell proliferation|negative regulation of canonical Wnt signaling pathway|regulation of stem cell division|regulation of cardiac cell fate specification|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/20671' target = '_blank'>Sox17</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afa.2' target = '_blank'>uc007afa</a>
130067,uc033fhy,9,kidney,1.8,0.15,1.65,1.94,0.118033912,0.002233047,0.39956677,0.054255092,NA,NA,NA,NA,NA
130068,uc007afb,10,kidney,1.76,0.15,1.61,1.92,0.14975025,0.002035387,0.397187559,0.056091467,Sox17,Sox17,"negative regulation of transcription from RNA polymerase II promoter|sequence-specific DNA binding RNA polymerase II transcription factor activity|angiogenesis|vasculogenesis|endoderm formation|inner cell mass cellular morphogenesis|heart looping|cardiogenic plate morphogenesis|embryonic heart tube morphogenesis|outflow tract morphogenesis|negative regulation of Wnt signaling pathway involved in heart development|DNA binding|sequence-specific DNA binding transcription factor activity|RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity|transcription coactivator activity|protein binding|nucleus|nucleus|transcription factor complex|transcription, DNA-templated|regulation of transcription, DNA-templated|transcription from RNA polymerase II promoter|spermatogenesis|gastrulation|endoderm development|endodermal cell fate determination|beta-catenin binding|transcription factor binding|positive regulation of gene expression|Wnt signaling pathway|rostrocaudal neural tube patterning|signal transduction involved in regulation of gene expression|negative regulation of Wnt signaling pathway|negative regulation of Wnt signaling pathway|negative regulation of cell growth|protein destabilization|embryonic heart tube development|cell migration involved in gastrulation|regulation of mesodermal cell fate specification|negative regulation of mesodermal cell fate specification|mRNA transcription from RNA polymerase II promoter|sequence-specific DNA binding|transcription regulatory region DNA binding|nuclear transcription factor complex|regulation of cell differentiation|positive regulation of cell differentiation|positive regulation of cell differentiation|positive regulation of protein catabolic process|positive regulation of transcription, DNA-templated|positive regulation of transcription from RNA polymerase II promoter|positive regulation of transcription from RNA polymerase II promoter|regulation of embryonic development|protein heterodimerization activity|embryonic organ development|embryonic foregut morphogenesis|positive regulation of skeletal muscle tissue development|stem cell differentiation|stem cell fate specification|protein stabilization|canonical Wnt signaling pathway|endocardium formation|regulation of transcription from RNA polymerase II promoter involved in definitive endodermal cell fate specification|cardiac cell fate determination|endocardial cell differentiation|common bile duct development|gall bladder development|endodermal digestive tract morphogenesis|renal system development|regulation of stem cell proliferation|negative regulation of canonical Wnt signaling pathway|regulation of stem cell division|regulation of cardiac cell fate specification|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/20671' target = '_blank'>Sox17</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afb.2' target = '_blank'>uc007afb</a>
