"","gene_id_go","gene_description","geneLink","GO"
"1","Ncl","nucleolin","https://www.ncbi.nlm.nih.gov/gene/?term=25135","nucleotide binding"
"2","Ncl","nucleolin","https://www.ncbi.nlm.nih.gov/gene/?term=25135","angiogenesis"
"3","Ncl","nucleolin","https://www.ncbi.nlm.nih.gov/gene/?term=25135","nucleic acid binding"
"4","Ncl","nucleolin","https://www.ncbi.nlm.nih.gov/gene/?term=25135","RNA binding"
"5","Ncl","nucleolin","https://www.ncbi.nlm.nih.gov/gene/?term=25135","nucleus"
"6","Ncl","nucleolin","https://www.ncbi.nlm.nih.gov/gene/?term=25135","nucleoplasm"
"7","Ncl","nucleolin","https://www.ncbi.nlm.nih.gov/gene/?term=25135","nucleolus"
"8","Ncl","nucleolin","https://www.ncbi.nlm.nih.gov/gene/?term=25135","cytoplasm"
"9","Ncl","nucleolin","https://www.ncbi.nlm.nih.gov/gene/?term=25135","cell cortex"
"10","Ncl","nucleolin","https://www.ncbi.nlm.nih.gov/gene/?term=25135","protein C-terminus binding"
"11","Ncl","nucleolin","https://www.ncbi.nlm.nih.gov/gene/?term=25135","membrane"
"12","Ncl","nucleolin","https://www.ncbi.nlm.nih.gov/gene/?term=25135","ribonucleoprotein complex"
"13","Ncl","nucleolin","https://www.ncbi.nlm.nih.gov/gene/?term=25135","cytoplasmic ribonucleoprotein granule"
"14","Ncl","nucleolin","https://www.ncbi.nlm.nih.gov/gene/?term=25135","telomeric DNA binding"
"15","Ncl","nucleolin","https://www.ncbi.nlm.nih.gov/gene/?term=25135","identical protein binding"
"16","Ncl","nucleolin","https://www.ncbi.nlm.nih.gov/gene/?term=25135","poly(A) RNA binding"
"17","Ncl","nucleolin","https://www.ncbi.nlm.nih.gov/gene/?term=25135","extracellular vesicular exosome"
"18","Ncl","nucleolin","https://www.ncbi.nlm.nih.gov/gene/?term=25135","positive regulation of transcription of nuclear large rRNA transcript from RNA polymerase I promoter"
"19","Spp1","secreted phosphoprotein 1","https://www.ncbi.nlm.nih.gov/gene/?term=25353","osteoblast differentiation"
"20","Spp1","secreted phosphoprotein 1","https://www.ncbi.nlm.nih.gov/gene/?term=25353","cytokine activity"
"21","Spp1","secreted phosphoprotein 1","https://www.ncbi.nlm.nih.gov/gene/?term=25353","extracellular space"
"22","Spp1","secreted phosphoprotein 1","https://www.ncbi.nlm.nih.gov/gene/?term=25353","cytoplasm"
"23","Spp1","secreted phosphoprotein 1","https://www.ncbi.nlm.nih.gov/gene/?term=25353","inflammatory response"
"24","Spp1","secreted phosphoprotein 1","https://www.ncbi.nlm.nih.gov/gene/?term=25353","cell adhesion"
"25","Spp1","secreted phosphoprotein 1","https://www.ncbi.nlm.nih.gov/gene/?term=25353","response to organic substance"
"26","Spp1","secreted phosphoprotein 1","https://www.ncbi.nlm.nih.gov/gene/?term=25353","positive regulation of cell-substrate adhesion"
"27","Spp1","secreted phosphoprotein 1","https://www.ncbi.nlm.nih.gov/gene/?term=25353","cell differentiation"
"28","Spp1","secreted phosphoprotein 1","https://www.ncbi.nlm.nih.gov/gene/?term=25353","neutrophil chemotaxis"
"29","Spp1","secreted phosphoprotein 1","https://www.ncbi.nlm.nih.gov/gene/?term=25353","biomineral tissue development"
"30","Spp1","secreted phosphoprotein 1","https://www.ncbi.nlm.nih.gov/gene/?term=25353","membrane-bounded vesicle"
"31","Spp1","secreted phosphoprotein 1","https://www.ncbi.nlm.nih.gov/gene/?term=25353","response to vitamin D"
