,GeneID,GO_acc,geneLink,GOLink,GO,gene_id_go,gene_description
1,25135,GO:0000166,https://www.ncbi.nlm.nih.gov/gene/?term=25135,http://amigo.geneontology.org/amigo/term/GO:0000166,nucleotide binding,Ncl,nucleolin
2,25135,GO:0001525,https://www.ncbi.nlm.nih.gov/gene/?term=25135,http://amigo.geneontology.org/amigo/term/GO:0001525,angiogenesis,Ncl,nucleolin
3,25135,GO:0003676,https://www.ncbi.nlm.nih.gov/gene/?term=25135,http://amigo.geneontology.org/amigo/term/GO:0003676,nucleic acid binding,Ncl,nucleolin
4,25135,GO:0003723,https://www.ncbi.nlm.nih.gov/gene/?term=25135,http://amigo.geneontology.org/amigo/term/GO:0003723,RNA binding,Ncl,nucleolin
5,25135,GO:0005634,https://www.ncbi.nlm.nih.gov/gene/?term=25135,http://amigo.geneontology.org/amigo/term/GO:0005634,nucleus,Ncl,nucleolin
6,25135,GO:0005654,https://www.ncbi.nlm.nih.gov/gene/?term=25135,http://amigo.geneontology.org/amigo/term/GO:0005654,nucleoplasm,Ncl,nucleolin
7,25135,GO:0005730,https://www.ncbi.nlm.nih.gov/gene/?term=25135,http://amigo.geneontology.org/amigo/term/GO:0005730,nucleolus,Ncl,nucleolin
8,25135,GO:0005737,https://www.ncbi.nlm.nih.gov/gene/?term=25135,http://amigo.geneontology.org/amigo/term/GO:0005737,cytoplasm,Ncl,nucleolin
9,25135,GO:0005938,https://www.ncbi.nlm.nih.gov/gene/?term=25135,http://amigo.geneontology.org/amigo/term/GO:0005938,cell cortex,Ncl,nucleolin
10,25135,GO:0008022,https://www.ncbi.nlm.nih.gov/gene/?term=25135,http://amigo.geneontology.org/amigo/term/GO:0008022,protein C-terminus binding,Ncl,nucleolin
11,25135,GO:0016020,https://www.ncbi.nlm.nih.gov/gene/?term=25135,http://amigo.geneontology.org/amigo/term/GO:0016020,membrane,Ncl,nucleolin
12,25135,GO:0030529,https://www.ncbi.nlm.nih.gov/gene/?term=25135,http://amigo.geneontology.org/amigo/term/GO:0030529,ribonucleoprotein complex,Ncl,nucleolin
13,25135,GO:0036464,https://www.ncbi.nlm.nih.gov/gene/?term=25135,http://amigo.geneontology.org/amigo/term/GO:0036464,cytoplasmic ribonucleoprotein granule,Ncl,nucleolin
14,25135,GO:0042162,https://www.ncbi.nlm.nih.gov/gene/?term=25135,http://amigo.geneontology.org/amigo/term/GO:0042162,telomeric DNA binding,Ncl,nucleolin
15,25135,GO:0042802,https://www.ncbi.nlm.nih.gov/gene/?term=25135,http://amigo.geneontology.org/amigo/term/GO:0042802,identical protein binding,Ncl,nucleolin
16,25135,GO:0044822,https://www.ncbi.nlm.nih.gov/gene/?term=25135,http://amigo.geneontology.org/amigo/term/GO:0044822,poly(A) RNA binding,Ncl,nucleolin
17,25135,GO:0070062,https://www.ncbi.nlm.nih.gov/gene/?term=25135,http://amigo.geneontology.org/amigo/term/GO:0070062,extracellular vesicular exosome,Ncl,nucleolin
18,25135,GO:1901838,https://www.ncbi.nlm.nih.gov/gene/?term=25135,http://amigo.geneontology.org/amigo/term/GO:1901838,positive regulation of transcription of nuclear large rRNA transcript from RNA polymerase I promoter,Ncl,nucleolin
19,25353,GO:0001649,https://www.ncbi.nlm.nih.gov/gene/?term=25353,http://amigo.geneontology.org/amigo/term/GO:0001649,osteoblast differentiation,Spp1,secreted phosphoprotein 1
20,25353,GO:0005125,https://www.ncbi.nlm.nih.gov/gene/?term=25353,http://amigo.geneontology.org/amigo/term/GO:0005125,cytokine activity,Spp1,secreted phosphoprotein 1
21,25353,GO:0005615,https://www.ncbi.nlm.nih.gov/gene/?term=25353,http://amigo.geneontology.org/amigo/term/GO:0005615,extracellular space,Spp1,secreted phosphoprotein 1
22,25353,GO:0005737,https://www.ncbi.nlm.nih.gov/gene/?term=25353,http://amigo.geneontology.org/amigo/term/GO:0005737,cytoplasm,Spp1,secreted phosphoprotein 1
23,25353,GO:0006954,https://www.ncbi.nlm.nih.gov/gene/?term=25353,http://amigo.geneontology.org/amigo/term/GO:0006954,inflammatory response,Spp1,secreted phosphoprotein 1
24,25353,GO:0007155,https://www.ncbi.nlm.nih.gov/gene/?term=25353,http://amigo.geneontology.org/amigo/term/GO:0007155,cell adhesion,Spp1,secreted phosphoprotein 1
25,25353,GO:0010033,https://www.ncbi.nlm.nih.gov/gene/?term=25353,http://amigo.geneontology.org/amigo/term/GO:0010033,response to organic substance,Spp1,secreted phosphoprotein 1
26,25353,GO:0010811,https://www.ncbi.nlm.nih.gov/gene/?term=25353,http://amigo.geneontology.org/amigo/term/GO:0010811,positive regulation of cell-substrate adhesion,Spp1,secreted phosphoprotein 1
27,25353,GO:0030154,https://www.ncbi.nlm.nih.gov/gene/?term=25353,http://amigo.geneontology.org/amigo/term/GO:0030154,cell differentiation,Spp1,secreted phosphoprotein 1
28,25353,GO:0030593,https://www.ncbi.nlm.nih.gov/gene/?term=25353,http://amigo.geneontology.org/amigo/term/GO:0030593,neutrophil chemotaxis,Spp1,secreted phosphoprotein 1
29,25353,GO:0031214,https://www.ncbi.nlm.nih.gov/gene/?term=25353,http://amigo.geneontology.org/amigo/term/GO:0031214,biomineral tissue development,Spp1,secreted phosphoprotein 1
30,25353,GO:0031988,https://www.ncbi.nlm.nih.gov/gene/?term=25353,http://amigo.geneontology.org/amigo/term/GO:0031988,membrane-bounded vesicle,Spp1,secreted phosphoprotein 1
31,25353,GO:0033280,https://www.ncbi.nlm.nih.gov/gene/?term=25353,http://amigo.geneontology.org/amigo/term/GO:0033280,response to vitamin D,Spp1,secreted phosphoprotein 1
32,25353,GO:0042995,https://www.ncbi.nlm.nih.gov/gene/?term=25353,http://amigo.geneontology.org/amigo/term/GO:0042995,cell projection,Spp1,secreted phosphoprotein 1
33,25353,GO:0045177,https://www.ncbi.nlm.nih.gov/gene/?term=25353,http://amigo.geneontology.org/amigo/term/GO:0045177,apical part of cell,Spp1,secreted phosphoprotein 1
34,25353,GO:0045780,https://www.ncbi.nlm.nih.gov/gene/?term=25353,http://amigo.geneontology.org/amigo/term/GO:0045780,positive regulation of bone resorption,Spp1,secreted phosphoprotein 1
35,25353,GO:0048471,https://www.ncbi.nlm.nih.gov/gene/?term=25353,http://amigo.geneontology.org/amigo/term/GO:0048471,perinuclear region of cytoplasm,Spp1,secreted phosphoprotein 1
36,25353,GO:0048545,https://www.ncbi.nlm.nih.gov/gene/?term=25353,http://amigo.geneontology.org/amigo/term/GO:0048545,response to steroid hormone,Spp1,secreted phosphoprotein 1
37,25353,GO:0048685,https://www.ncbi.nlm.nih.gov/gene/?term=25353,http://amigo.geneontology.org/amigo/term/GO:0048685,negative regulation of collateral sprouting of intact axon in response to injury,Spp1,secreted phosphoprotein 1
38,25353,GO:0050840,https://www.ncbi.nlm.nih.gov/gene/?term=25353,http://amigo.geneontology.org/amigo/term/GO:0050840,extracellular matrix binding,Spp1,secreted phosphoprotein 1
39,25353,GO:0070062,https://www.ncbi.nlm.nih.gov/gene/?term=25353,http://amigo.geneontology.org/amigo/term/GO:0070062,extracellular vesicular exosome,Spp1,secreted phosphoprotein 1
40,25186,GO:0001755,https://www.ncbi.nlm.nih.gov/gene/?term=25186,http://amigo.geneontology.org/amigo/term/GO:0001755,neural crest cell migration,Efnb1,ephrin B1
41,25186,GO:0005515,https://www.ncbi.nlm.nih.gov/gene/?term=25186,http://amigo.geneontology.org/amigo/term/GO:0005515,protein binding,Efnb1,ephrin B1
42,25186,GO:0005634,https://www.ncbi.nlm.nih.gov/gene/?term=25186,http://amigo.geneontology.org/amigo/term/GO:0005634,nucleus,Efnb1,ephrin B1
43,25186,GO:0005737,https://www.ncbi.nlm.nih.gov/gene/?term=25186,http://amigo.geneontology.org/amigo/term/GO:0005737,cytoplasm,Efnb1,ephrin B1
44,25186,GO:0005886,https://www.ncbi.nlm.nih.gov/gene/?term=25186,http://amigo.geneontology.org/amigo/term/GO:0005886,plasma membrane,Efnb1,ephrin B1
45,25186,GO:0007399,https://www.ncbi.nlm.nih.gov/gene/?term=25186,http://amigo.geneontology.org/amigo/term/GO:0007399,nervous system development,Efnb1,ephrin B1
46,25186,GO:0007411,https://www.ncbi.nlm.nih.gov/gene/?term=25186,http://amigo.geneontology.org/amigo/term/GO:0007411,axon guidance,Efnb1,ephrin B1
47,25186,GO:0009880,https://www.ncbi.nlm.nih.gov/gene/?term=25186,http://amigo.geneontology.org/amigo/term/GO:0009880,embryonic pattern specification,Efnb1,ephrin B1
48,25186,GO:0016021,https://www.ncbi.nlm.nih.gov/gene/?term=25186,http://amigo.geneontology.org/amigo/term/GO:0016021,integral component of membrane,Efnb1,ephrin B1
49,25186,GO:0042102,https://www.ncbi.nlm.nih.gov/gene/?term=25186,http://amigo.geneontology.org/amigo/term/GO:0042102,positive regulation of T cell proliferation,Efnb1,ephrin B1
50,25186,GO:0045121,https://www.ncbi.nlm.nih.gov/gene/?term=25186,http://amigo.geneontology.org/amigo/term/GO:0045121,membrane raft,Efnb1,ephrin B1
51,25186,GO:0045202,https://www.ncbi.nlm.nih.gov/gene/?term=25186,http://amigo.geneontology.org/amigo/term/GO:0045202,synapse,Efnb1,ephrin B1
52,25186,GO:0046875,https://www.ncbi.nlm.nih.gov/gene/?term=25186,http://amigo.geneontology.org/amigo/term/GO:0046875,ephrin receptor binding,Efnb1,ephrin B1
53,25186,GO:0048013,https://www.ncbi.nlm.nih.gov/gene/?term=25186,http://amigo.geneontology.org/amigo/term/GO:0048013,ephrin receptor signaling pathway,Efnb1,ephrin B1
54,25186,GO:0070062,https://www.ncbi.nlm.nih.gov/gene/?term=25186,http://amigo.geneontology.org/amigo/term/GO:0070062,extracellular vesicular exosome,Efnb1,ephrin B1
55,25176,GO:0005215,https://www.ncbi.nlm.nih.gov/gene/?term=25176,http://amigo.geneontology.org/amigo/term/GO:0005215,transporter activity,Slc25a5,solute carrier family 25 member 5
